# x_m,y_m,w_tr_right_m,w_tr_left_m
11.0000,33.0500,0.3331,0.3331
11.0500,33.1000,0.3542,0.3542
11.0500,33.1500,0.3352,0.3352
11.1000,33.2000,0.3685,0.3685
11.1500,33.2500,0.4076,0.4076
11.1500,33.3000,0.4019,0.4019
11.2000,33.3500,0.4500,0.4500
11.2500,33.4000,0.4500,0.4500
11.2500,33.4500,0.4500,0.4500
11.2500,33.5000,0.4500,0.4500
11.2500,33.5500,0.4500,0.4500
11.2500,33.6000,0.4500,0.4500
11.2500,33.6500,0.4500,0.4500
11.2500,33.7000,0.4500,0.4500
11.2500,33.7500,0.4518,0.4518
11.2500,33.8000,0.4518,0.4518
11.2500,33.8500,0.4500,0.4500
11.2500,33.9000,0.4500,0.4500
11.2500,33.9500,0.4500,0.4500
11.2500,34.0000,0.4500,0.4500
11.3000,34.0500,0.4500,0.4500
11.3000,34.1000,0.4500,0.4500
11.3000,34.1500,0.4518,0.4518
11.3000,34.2000,0.4500,0.4500
11.3000,34.2500,0.4518,0.4518
11.3000,34.3000,0.4500,0.4500
11.3000,34.3500,0.4500,0.4500
11.3000,34.4000,0.4500,0.4500
11.3000,34.4500,0.4464,0.4464
11.3500,34.5000,0.4500,0.4500
11.3500,34.5500,0.4518,0.4518
11.3500,34.6000,0.4571,0.4571
11.3500,34.6500,0.4518,0.4518
11.3500,34.7000,0.4500,0.4500
11.3500,34.7500,0.4500,0.4500
11.3500,34.8000,0.4500,0.4500
11.3500,34.8500,0.4500,0.4500
11.4000,34.9000,0.4518,0.4518
11.4000,34.9500,0.4571,0.4571
11.4000,35.0000,0.4659,0.4659
11.4000,35.0500,0.4571,0.4571
11.4000,35.1000,0.4518,0.4518
11.4000,35.1500,0.4500,0.4500
11.4000,35.2000,0.4500,0.4500
11.4000,35.2500,0.4500,0.4500
11.4000,35.3000,0.4464,0.4464
11.4500,35.3500,0.4659,0.4659
11.4500,35.4000,0.4659,0.4659
11.4500,35.4500,0.4571,0.4571
11.4500,35.5000,0.4518,0.4518
11.4500,35.5500,0.4500,0.4500
11.4500,35.6000,0.4500,0.4500
11.4500,35.6500,0.4500,0.4500
11.4500,35.7000,0.4500,0.4500
11.5000,35.7500,0.4571,0.4571
